epoch 0010  train_loss=1.6391  val_dice=0.0919  val_iou=0.0482
epoch 0020  train_loss=1.5555  val_dice=0.1209  val_iou=0.0646
epoch 0030  train_loss=1.5400  val_dice=0.1930  val_iou=0.1070
epoch 0040  train_loss=1.4595  val_dice=0.1914  val_iou=0.1064
epoch 0050  train_loss=1.3786  val_dice=0.2410  val_iou=0.1375
epoch 0060  train_loss=1.3293  val_dice=0.2699  val_iou=0.1565
epoch 0070  train_loss=1.3641  val_dice=0.2828  val_iou=0.1652
epoch 0080  train_loss=1.2903  val_dice=0.3185  val_iou=0.1899
epoch 0090  train_loss=1.3158  val_dice=0.3107  val_iou=0.1843
epoch 0100  train_loss=1.2345  val_dice=0.3234  val_iou=0.1935
epoch 0110  train_loss=1.1415  val_dice=0.3315  val_iou=0.1995
epoch 0120  train_loss=1.2054  val_dice=0.3093  val_iou=0.1835
epoch 0130  train_loss=1.1166  val_dice=0.3469  val_iou=0.2104
epoch 0140  train_loss=1.1942  val_dice=0.3415  val_iou=0.2069
epoch 0150  train_loss=1.1511  val_dice=0.3492  val_iou=0.2122
epoch 0160  train_loss=1.0870  val_dice=0.3258  val_iou=0.1959
epoch 0170  train_loss=1.1095  val_dice=0.3697  val_iou=0.2279
epoch 0180  train_loss=1.0742  val_dice=0.3747  val_iou=0.2315
epoch 0190  train_loss=1.1341  val_dice=0.3526  val_iou=0.2150
epoch 0200  train_loss=1.1803  val_dice=0.3708  val_iou=0.2281
epoch 0210  train_loss=1.0844  val_dice=0.3909  val_iou=0.2439
epoch 0220  train_loss=1.0165  val_dice=0.3662  val_iou=0.2254
epoch 0230  train_loss=1.0406  val_dice=0.3921  val_iou=0.2447
epoch 0240  train_loss=1.1051  val_dice=0.3809  val_iou=0.2357
epoch 0250  train_loss=1.1000  val_dice=0.3899  val_iou=0.2431
epoch 0260  train_loss=1.0490  val_dice=0.3978  val_iou=0.2492
epoch 0270  train_loss=1.0111  val_dice=0.3973  val_iou=0.2485
epoch 0280  train_loss=1.0515  val_dice=0.4144  val_iou=0.2625
epoch 0290  train_loss=1.0969  val_dice=0.4113  val_iou=0.2595
epoch 0300  train_loss=1.0504  val_dice=0.3750  val_iou=0.2317
epoch 0310  train_loss=1.0879  val_dice=0.4250  val_iou=0.2704
epoch 0320  train_loss=1.0634  val_dice=0.3749  val_iou=0.2318
epoch 0330  train_loss=1.1230  val_dice=0.4231  val_iou=0.2691
epoch 0340  train_loss=1.0623  val_dice=0.4197  val_iou=0.2665
epoch 0350  train_loss=1.0178  val_dice=0.4248  val_iou=0.2708
epoch 0360  train_loss=1.0163  val_dice=0.4266  val_iou=0.2721
epoch 0370  train_loss=0.9969  val_dice=0.4268  val_iou=0.2721
epoch 0380  train_loss=1.0787  val_dice=0.4402  val_iou=0.2833
epoch 0390  train_loss=1.0530  val_dice=0.4575  val_iou=0.2973
epoch 0400  train_loss=1.1038  val_dice=0.4190  val_iou=0.2657
epoch 0410  train_loss=0.9863  val_dice=0.4374  val_iou=0.2811
epoch 0420  train_loss=1.1228  val_dice=0.4423  val_iou=0.2848
epoch 0430  train_loss=0.9921  val_dice=0.4327  val_iou=0.2768
epoch 0440  train_loss=0.9611  val_dice=0.4500  val_iou=0.2910
epoch 0450  train_loss=1.0801  val_dice=0.4340  val_iou=0.2780
epoch 0460  train_loss=1.0655  val_dice=0.4156  val_iou=0.2636
epoch 0470  train_loss=1.0489  val_dice=0.4525  val_iou=0.2933
epoch 0480  train_loss=0.9512  val_dice=0.4685  val_iou=0.3062
epoch 0490  train_loss=1.0111  val_dice=0.4519  val_iou=0.2928
epoch 0500  train_loss=1.0836  val_dice=0.4488  val_iou=0.2901
epoch 0510  train_loss=0.9637  val_dice=0.4502  val_iou=0.2913
epoch 0520  train_loss=0.9082  val_dice=0.4307  val_iou=0.2760
epoch 0530  train_loss=1.0427  val_dice=0.4869  val_iou=0.3221
epoch 0540  train_loss=1.0158  val_dice=0.4421  val_iou=0.2850
epoch 0550  train_loss=1.0627  val_dice=0.4505  val_iou=0.2917
epoch 0560  train_loss=0.9543  val_dice=0.4662  val_iou=0.3048
epoch 0570  train_loss=1.0433  val_dice=0.4539  val_iou=0.2944
epoch 0580  train_loss=1.0256  val_dice=0.4595  val_iou=0.2989
epoch 0590  train_loss=1.0500  val_dice=0.4572  val_iou=0.2969
epoch 0600  train_loss=1.0330  val_dice=0.4532  val_iou=0.2935
epoch 0610  train_loss=1.0036  val_dice=0.4567  val_iou=0.2969
epoch 0620  train_loss=1.0464  val_dice=0.4774  val_iou=0.3141
epoch 0630  train_loss=0.9669  val_dice=0.4797  val_iou=0.3163
epoch 0640  train_loss=0.8550  val_dice=0.4772  val_iou=0.3142
epoch 0650  train_loss=0.9999  val_dice=0.4897  val_iou=0.3246
epoch 0660  train_loss=0.9589  val_dice=0.4539  val_iou=0.2942
epoch 0670  train_loss=1.0060  val_dice=0.4765  val_iou=0.3137
epoch 0680  train_loss=0.9329  val_dice=0.4860  val_iou=0.3217
epoch 0690  train_loss=0.9204  val_dice=0.4884  val_iou=0.3236
epoch 0700  train_loss=0.9041  val_dice=0.4865  val_iou=0.3220
epoch 0710  train_loss=1.0388  val_dice=0.4768  val_iou=0.3137
epoch 0720  train_loss=1.0506  val_dice=0.4570  val_iou=0.2971
epoch 0730  train_loss=1.0713  val_dice=0.4726  val_iou=0.3096
epoch 0740  train_loss=0.9217  val_dice=0.4862  val_iou=0.3216
epoch 0750  train_loss=0.9276  val_dice=0.4860  val_iou=0.3218
epoch 0760  train_loss=0.9896  val_dice=0.4797  val_iou=0.3159
epoch 0770  train_loss=0.9667  val_dice=0.4815  val_iou=0.3175
epoch 0780  train_loss=0.9321  val_dice=0.4959  val_iou=0.3304
epoch 0790  train_loss=1.0207  val_dice=0.4757  val_iou=0.3127
epoch 0800  train_loss=0.9713  val_dice=0.4907  val_iou=0.3256
