epoch 0010  train_loss=0.1027  val_metric=0.6861
epoch 0020  train_loss=0.0886  val_metric=0.7433
epoch 0030  train_loss=0.0695  val_metric=0.7456
epoch 0040  train_loss=0.0717  val_metric=0.7716
epoch 0050  train_loss=0.0626  val_metric=0.7970
epoch 0060  train_loss=0.0583  val_metric=0.8119
epoch 0070  train_loss=0.0616  val_metric=0.8118
epoch 0080  train_loss=0.0546  val_metric=0.8233
epoch 0090  train_loss=0.0522  val_metric=0.8400
epoch 0100  train_loss=0.0513  val_metric=0.8445
epoch 0110  train_loss=0.0547  val_metric=0.8408
epoch 0120  train_loss=0.0469  val_metric=0.8504
epoch 0130  train_loss=0.0458  val_metric=0.8574
epoch 0140  train_loss=0.0464  val_metric=0.8648
epoch 0150  train_loss=0.0538  val_metric=0.8602
epoch 0160  train_loss=0.0487  val_metric=0.8529
epoch 0170  train_loss=0.0435  val_metric=0.8672
epoch 0180  train_loss=0.0429  val_metric=0.8712
epoch 0190  train_loss=0.0444  val_metric=0.8792
epoch 0200  train_loss=0.0434  val_metric=0.8802
epoch 0210  train_loss=0.0415  val_metric=0.8793
epoch 0220  train_loss=0.0440  val_metric=0.8834
epoch 0230  train_loss=0.0423  val_metric=0.8815
epoch 0240  train_loss=0.0409  val_metric=0.8860
epoch 0250  train_loss=0.0388  val_metric=0.8875
epoch 0260  train_loss=0.0361  val_metric=0.8895
epoch 0270  train_loss=0.0429  val_metric=0.8813
epoch 0280  train_loss=0.0363  val_metric=0.8855
epoch 0290  train_loss=0.0369  val_metric=0.8933
epoch 0300  train_loss=0.0404  val_metric=0.8917
epoch 0310  train_loss=0.0347  val_metric=0.8972
epoch 0320  train_loss=0.0351  val_metric=0.8982
epoch 0330  train_loss=0.0433  val_metric=0.8952
epoch 0340  train_loss=0.0359  val_metric=0.8952
epoch 0350  train_loss=0.0347  val_metric=0.8981
epoch 0360  train_loss=0.0363  val_metric=0.9015
epoch 0370  train_loss=0.0355  val_metric=0.9008
epoch 0380  train_loss=0.0341  val_metric=0.8992
epoch 0390  train_loss=0.0384  val_metric=0.8989
epoch 0400  train_loss=0.0337  val_metric=0.9003
epoch 0410  train_loss=0.0326  val_metric=0.9018
epoch 0420  train_loss=0.0323  val_metric=0.9031
epoch 0430  train_loss=0.0412  val_metric=0.8925
epoch 0440  train_loss=0.0331  val_metric=0.9012
epoch 0450  train_loss=0.0343  val_metric=0.9032
epoch 0460  train_loss=0.0316  val_metric=0.8985
epoch 0470  train_loss=0.0346  val_metric=0.9038
epoch 0480  train_loss=0.0341  val_metric=0.8990
epoch 0490  train_loss=0.0346  val_metric=0.9004
epoch 0500  train_loss=0.0315  val_metric=0.8994
epoch 0510  train_loss=0.0315  val_metric=0.8734
epoch 0520  train_loss=0.0319  val_metric=0.9053
epoch 0530  train_loss=0.0327  val_metric=0.9077
epoch 0540  train_loss=0.0300  val_metric=0.9076
epoch 0550  train_loss=0.0329  val_metric=0.8973
epoch 0560  train_loss=0.0322  val_metric=0.8989
epoch 0570  train_loss=0.0304  val_metric=0.9115
epoch 0580  train_loss=0.0312  val_metric=0.9000
epoch 0590  train_loss=0.0345  val_metric=0.8863
epoch 0600  train_loss=0.0370  val_metric=0.9091
epoch 0610  train_loss=0.0307  val_metric=0.9080
epoch 0620  train_loss=0.0307  val_metric=0.8965
epoch 0630  train_loss=0.0312  val_metric=0.8932
epoch 0640  train_loss=0.0302  val_metric=0.8686
epoch 0650  train_loss=0.0306  val_metric=0.9030
epoch 0660  train_loss=0.0291  val_metric=0.9075
epoch 0670  train_loss=0.0291  val_metric=0.9135
epoch 0680  train_loss=0.0295  val_metric=0.9001
epoch 0690  train_loss=0.0289  val_metric=0.9025
epoch 0700  train_loss=0.0285  val_metric=0.9016
epoch 0710  train_loss=0.0302  val_metric=0.9033
epoch 0720  train_loss=0.0295  val_metric=0.8907
epoch 0730  train_loss=0.0306  val_metric=0.9142
epoch 0740  train_loss=0.0310  val_metric=0.8799
epoch 0750  train_loss=0.0295  val_metric=0.9024
epoch 0760  train_loss=0.0294  val_metric=0.9164
