epoch 0010  train_loss=0.3669  val_metric=0.6566
epoch 0020  train_loss=0.2350  val_metric=0.7482
epoch 0030  train_loss=0.1953  val_metric=0.8353
epoch 0040  train_loss=0.1749  val_metric=0.8598
epoch 0050  train_loss=0.1619  val_metric=0.8818
epoch 0060  train_loss=0.1475  val_metric=0.8964
epoch 0070  train_loss=0.1261  val_metric=0.8841
epoch 0080  train_loss=0.1234  val_metric=0.9120
epoch 0090  train_loss=0.1257  val_metric=0.9074
epoch 0100  train_loss=0.1053  val_metric=0.9317
epoch 0110  train_loss=0.1225  val_metric=0.9246
epoch 0120  train_loss=0.1029  val_metric=0.9380
epoch 0130  train_loss=0.0939  val_metric=0.9348
epoch 0140  train_loss=0.1021  val_metric=0.9405
epoch 0150  train_loss=0.0993  val_metric=0.9491
epoch 0160  train_loss=0.0954  val_metric=0.9533
epoch 0170  train_loss=0.0916  val_metric=0.9556
epoch 0180  train_loss=0.0937  val_metric=0.9575
epoch 0190  train_loss=0.0813  val_metric=0.9440
epoch 0200  train_loss=0.0868  val_metric=0.9594
epoch 0210  train_loss=0.0825  val_metric=0.9624
epoch 0220  train_loss=0.0825  val_metric=0.9584
epoch 0230  train_loss=0.0904  val_metric=0.9633
epoch 0240  train_loss=0.0812  val_metric=0.9638
epoch 0250  train_loss=0.0757  val_metric=0.9620
epoch 0260  train_loss=0.0819  val_metric=0.9673
epoch 0270  train_loss=0.0701  val_metric=0.9647
epoch 0280  train_loss=0.0799  val_metric=0.9686
epoch 0290  train_loss=0.0672  val_metric=0.9708
epoch 0300  train_loss=0.0680  val_metric=0.9625
epoch 0310  train_loss=0.0735  val_metric=0.9721
epoch 0320  train_loss=0.0658  val_metric=0.9721
epoch 0330  train_loss=0.0658  val_metric=0.9698
epoch 0340  train_loss=0.0692  val_metric=0.9703
epoch 0350  train_loss=0.0617  val_metric=0.9738
epoch 0360  train_loss=0.0606  val_metric=0.9740
epoch 0370  train_loss=0.0702  val_metric=0.9525
epoch 0380  train_loss=0.0605  val_metric=0.9724
epoch 0390  train_loss=0.0625  val_metric=0.9760
epoch 0400  train_loss=0.0608  val_metric=0.9765
epoch 0410  train_loss=0.0626  val_metric=0.9760
epoch 0420  train_loss=0.0582  val_metric=0.9761
epoch 0430  train_loss=0.0592  val_metric=0.9722
epoch 0440  train_loss=0.0561  val_metric=0.9762
epoch 0450  train_loss=0.0534  val_metric=0.9774
epoch 0460  train_loss=0.0577  val_metric=0.9784
epoch 0470  train_loss=0.0585  val_metric=0.9695
epoch 0480  train_loss=0.0589  val_metric=0.9715
epoch 0490  train_loss=0.0516  val_metric=0.9781
epoch 0500  train_loss=0.0480  val_metric=0.9795
epoch 0510  train_loss=0.0514  val_metric=0.9789
epoch 0520  train_loss=0.0547  val_metric=0.9791
epoch 0530  train_loss=0.0512  val_metric=0.9798
epoch 0540  train_loss=0.0500  val_metric=0.9798
epoch 0550  train_loss=0.0532  val_metric=0.9801
epoch 0560  train_loss=0.0489  val_metric=0.9807
epoch 0570  train_loss=0.0510  val_metric=0.9799
epoch 0580  train_loss=0.0496  val_metric=0.9772
epoch 0590  train_loss=0.0428  val_metric=0.9804
epoch 0600  train_loss=0.0487  val_metric=0.9781
epoch 0610  train_loss=0.0449  val_metric=0.9818
epoch 0620  train_loss=0.0458  val_metric=0.9819
epoch 0630  train_loss=0.0489  val_metric=0.9820
epoch 0640  train_loss=0.0488  val_metric=0.9820
epoch 0650  train_loss=0.0473  val_metric=0.9815
epoch 0660  train_loss=0.0464  val_metric=0.9828
epoch 0670  train_loss=0.0468  val_metric=0.9827
epoch 0680  train_loss=0.0466  val_metric=0.9811
epoch 0690  train_loss=0.0464  val_metric=0.9832
epoch 0700  train_loss=0.0455  val_metric=0.9833
epoch 0710  train_loss=0.0448  val_metric=0.9834
epoch 0720  train_loss=0.0458  val_metric=0.9834
epoch 0730  train_loss=0.0434  val_metric=0.9828
epoch 0740  train_loss=0.0431  val_metric=0.9828
epoch 0750  train_loss=0.0452  val_metric=0.9787
epoch 0760  train_loss=0.0447  val_metric=0.9835
epoch 0770  train_loss=0.0402  val_metric=0.9840
epoch 0780  train_loss=0.0424  val_metric=0.9844
epoch 0790  train_loss=0.0431  val_metric=0.9840
epoch 0800  train_loss=0.0404  val_metric=0.9834
