epoch 0005  train_loss=0.1527  val_metric=0.6346
epoch 0010  train_loss=0.1073  val_metric=0.6933
epoch 0015  train_loss=0.0935  val_metric=0.7067
epoch 0020  train_loss=0.0887  val_metric=0.7170
epoch 0025  train_loss=0.0878  val_metric=0.7260
epoch 0030  train_loss=0.0754  val_metric=0.7677
epoch 0035  train_loss=0.0713  val_metric=0.7717
epoch 0040  train_loss=0.0724  val_metric=0.7691
epoch 0045  train_loss=0.0665  val_metric=0.7674
epoch 0050  train_loss=0.0632  val_metric=0.7994
epoch 0055  train_loss=0.0642  val_metric=0.7933
epoch 0060  train_loss=0.0585  val_metric=0.8071
