epoch 0005  train_loss=0.5594  val_metric=0.5302
epoch 0010  train_loss=0.4265  val_metric=0.6664
epoch 0015  train_loss=0.3506  val_metric=0.7471
epoch 0020  train_loss=0.2989  val_metric=0.7977
epoch 0025  train_loss=0.2695  val_metric=0.8171
epoch 0030  train_loss=0.2406  val_metric=0.8486
epoch 0035  train_loss=0.2249  val_metric=0.8715
epoch 0040  train_loss=0.2045  val_metric=0.8848
epoch 0045  train_loss=0.1966  val_metric=0.8912
epoch 0050  train_loss=0.1858  val_metric=0.9075
epoch 0055  train_loss=0.1753  val_metric=0.8952
epoch 0060  train_loss=0.1660  val_metric=0.9127
