epoch 0010  train_loss=1.7405  val_dice=0.0146  val_iou=0.0074
epoch 0020  train_loss=1.6889  val_dice=0.0169  val_iou=0.0085
epoch 0030  train_loss=1.6502  val_dice=0.0248  val_iou=0.0125
epoch 0040  train_loss=1.6144  val_dice=0.0255  val_iou=0.0130
epoch 0050  train_loss=1.5579  val_dice=0.0240  val_iou=0.0121
epoch 0060  train_loss=1.5541  val_dice=0.0373  val_iou=0.0191
epoch 0070  train_loss=1.4743  val_dice=0.0363  val_iou=0.0185
epoch 0080  train_loss=1.4475  val_dice=0.0453  val_iou=0.0232
epoch 0090  train_loss=1.4572  val_dice=0.0339  val_iou=0.0173
epoch 0100  train_loss=1.4025  val_dice=0.0383  val_iou=0.0195
epoch 0110  train_loss=1.3847  val_dice=0.0395  val_iou=0.0202
epoch 0120  train_loss=1.3758  val_dice=0.0421  val_iou=0.0216
epoch 0130  train_loss=1.3150  val_dice=0.0430  val_iou=0.0220
epoch 0140  train_loss=1.3239  val_dice=0.0532  val_iou=0.0273
epoch 0150  train_loss=1.2772  val_dice=0.0334  val_iou=0.0170
epoch 0160  train_loss=1.2525  val_dice=0.0499  val_iou=0.0256
epoch 0170  train_loss=1.2552  val_dice=0.0537  val_iou=0.0277
epoch 0180  train_loss=1.2358  val_dice=0.0592  val_iou=0.0305
epoch 0190  train_loss=1.2000  val_dice=0.0653  val_iou=0.0338
epoch 0200  train_loss=1.2343  val_dice=0.0833  val_iou=0.0435
epoch 0210  train_loss=1.1886  val_dice=0.0635  val_iou=0.0329
epoch 0220  train_loss=1.1921  val_dice=0.0629  val_iou=0.0325
epoch 0230  train_loss=1.1488  val_dice=0.0736  val_iou=0.0382
epoch 0240  train_loss=1.1799  val_dice=0.0776  val_iou=0.0405
epoch 0250  train_loss=1.1344  val_dice=0.0988  val_iou=0.0520
epoch 0260  train_loss=1.1233  val_dice=0.0922  val_iou=0.0484
epoch 0270  train_loss=1.0997  val_dice=0.0985  val_iou=0.0519
epoch 0280  train_loss=1.1323  val_dice=0.0990  val_iou=0.0522
epoch 0290  train_loss=1.1019  val_dice=0.0947  val_iou=0.0498
epoch 0300  train_loss=1.0811  val_dice=0.1111  val_iou=0.0588
epoch 0310  train_loss=1.0855  val_dice=0.1200  val_iou=0.0639
epoch 0320  train_loss=1.0673  val_dice=0.1132  val_iou=0.0600
epoch 0330  train_loss=1.1107  val_dice=0.1059  val_iou=0.0559
epoch 0340  train_loss=1.0961  val_dice=0.0989  val_iou=0.0521
epoch 0350  train_loss=1.0426  val_dice=0.1294  val_iou=0.0693
epoch 0360  train_loss=1.0793  val_dice=0.1178  val_iou=0.0627
epoch 0370  train_loss=1.0710  val_dice=0.1090  val_iou=0.0577
epoch 0380  train_loss=1.0667  val_dice=0.1228  val_iou=0.0655
epoch 0390  train_loss=1.0822  val_dice=0.1280  val_iou=0.0685
epoch 0400  train_loss=1.0730  val_dice=0.1452  val_iou=0.0784
