epoch 0010  train_loss=0.1728  val_metric=0.5408
epoch 0020  train_loss=0.1194  val_metric=0.6568
epoch 0030  train_loss=0.0973  val_metric=0.6877
epoch 0040  train_loss=0.0792  val_metric=0.7143
epoch 0050  train_loss=0.0745  val_metric=0.7514
epoch 0060  train_loss=0.0708  val_metric=0.7602
epoch 0070  train_loss=0.0657  val_metric=0.7692
epoch 0080  train_loss=0.0592  val_metric=0.7883
epoch 0090  train_loss=0.0588  val_metric=0.7952
epoch 0100  train_loss=0.0585  val_metric=0.8100
epoch 0110  train_loss=0.0579  val_metric=0.8179
epoch 0120  train_loss=0.0533  val_metric=0.8188
epoch 0130  train_loss=0.0554  val_metric=0.8269
epoch 0140  train_loss=0.0517  val_metric=0.8298
epoch 0150  train_loss=0.0526  val_metric=0.8390
epoch 0160  train_loss=0.0509  val_metric=0.8390
epoch 0170  train_loss=0.0525  val_metric=0.8337
epoch 0180  train_loss=0.0485  val_metric=0.8451
epoch 0190  train_loss=0.0490  val_metric=0.8405
epoch 0200  train_loss=0.0473  val_metric=0.8472
epoch 0210  train_loss=0.0470  val_metric=0.8499
epoch 0220  train_loss=0.0457  val_metric=0.8485
epoch 0230  train_loss=0.0458  val_metric=0.8570
epoch 0240  train_loss=0.0432  val_metric=0.8498
epoch 0250  train_loss=0.0445  val_metric=0.8555
epoch 0260  train_loss=0.0454  val_metric=0.8571
epoch 0270  train_loss=0.0422  val_metric=0.8599
epoch 0280  train_loss=0.0427  val_metric=0.8638
epoch 0290  train_loss=0.0429  val_metric=0.8666
epoch 0300  train_loss=0.0421  val_metric=0.8648
epoch 0310  train_loss=0.0439  val_metric=0.8667
epoch 0320  train_loss=0.0441  val_metric=0.8683
epoch 0330  train_loss=0.0413  val_metric=0.8702
epoch 0340  train_loss=0.0397  val_metric=0.8712
epoch 0350  train_loss=0.0421  val_metric=0.8730
epoch 0360  train_loss=0.0407  val_metric=0.8726
epoch 0370  train_loss=0.0418  val_metric=0.8732
epoch 0380  train_loss=0.0380  val_metric=0.8713
epoch 0390  train_loss=0.0402  val_metric=0.8757
epoch 0400  train_loss=0.0396  val_metric=0.8727
