epoch 0010  train_loss=0.7133  val_metric=0.5493
epoch 0020  train_loss=0.5495  val_metric=0.6781
epoch 0030  train_loss=0.4330  val_metric=0.7430
epoch 0040  train_loss=0.3668  val_metric=0.7823
epoch 0050  train_loss=0.3329  val_metric=0.8026
epoch 0060  train_loss=0.3042  val_metric=0.8160
epoch 0070  train_loss=0.2861  val_metric=0.8408
epoch 0080  train_loss=0.2958  val_metric=0.8378
epoch 0090  train_loss=0.2476  val_metric=0.8591
epoch 0100  train_loss=0.2378  val_metric=0.8631
epoch 0110  train_loss=0.2293  val_metric=0.8614
epoch 0120  train_loss=0.2638  val_metric=0.8782
epoch 0130  train_loss=0.2163  val_metric=0.8730
epoch 0140  train_loss=0.2243  val_metric=0.8876
epoch 0150  train_loss=0.2009  val_metric=0.8979
epoch 0160  train_loss=0.2154  val_metric=0.9035
epoch 0170  train_loss=0.2078  val_metric=0.8961
epoch 0180  train_loss=0.2163  val_metric=0.8969
epoch 0190  train_loss=0.2072  val_metric=0.8990
epoch 0200  train_loss=0.1809  val_metric=0.9124
epoch 0210  train_loss=0.2078  val_metric=0.9148
epoch 0220  train_loss=0.1707  val_metric=0.9155
epoch 0230  train_loss=0.1936  val_metric=0.9129
epoch 0240  train_loss=0.1704  val_metric=0.9197
epoch 0250  train_loss=0.1634  val_metric=0.9206
epoch 0260  train_loss=0.1694  val_metric=0.9168
epoch 0270  train_loss=0.1685  val_metric=0.9185
epoch 0280  train_loss=0.1717  val_metric=0.9335
epoch 0290  train_loss=0.1678  val_metric=0.9261
epoch 0300  train_loss=0.1595  val_metric=0.9257
epoch 0310  train_loss=0.1677  val_metric=0.9261
epoch 0320  train_loss=0.1443  val_metric=0.9350
epoch 0330  train_loss=0.1562  val_metric=0.9329
epoch 0340  train_loss=0.1696  val_metric=0.9359
epoch 0350  train_loss=0.1514  val_metric=0.9252
epoch 0360  train_loss=0.1448  val_metric=0.9435
epoch 0370  train_loss=0.1531  val_metric=0.9410
epoch 0380  train_loss=0.1265  val_metric=0.9324
epoch 0390  train_loss=0.1346  val_metric=0.9473
epoch 0400  train_loss=0.1292  val_metric=0.9402
