epoch 0001  train_loss=0.8912  val_dice=0.8133  val_iou=0.7083
epoch 0002  train_loss=0.5926  val_dice=0.8383  val_iou=0.7439
epoch 0003  train_loss=0.5107  val_dice=0.8597  val_iou=0.7701
epoch 0004  train_loss=0.4613  val_dice=0.8507  val_iou=0.7575
epoch 0005  train_loss=0.4315  val_dice=0.8612  val_iou=0.7757
epoch 0006  train_loss=0.4067  val_dice=0.8693  val_iou=0.7873
epoch 0007  train_loss=0.3884  val_dice=0.8657  val_iou=0.7811
epoch 0008  train_loss=0.3725  val_dice=0.8709  val_iou=0.7877
epoch 0009  train_loss=0.3605  val_dice=0.8592  val_iou=0.7685
epoch 0010  train_loss=0.3555  val_dice=0.8788  val_iou=0.7979
epoch 0011  train_loss=0.3420  val_dice=0.8770  val_iou=0.7967
epoch 0012  train_loss=0.3405  val_dice=0.8718  val_iou=0.7903
epoch 0013  train_loss=0.3449  val_dice=0.8743  val_iou=0.7962
epoch 0014  train_loss=0.3312  val_dice=0.8202  val_iou=0.7288
epoch 0015  train_loss=0.3263  val_dice=0.8791  val_iou=0.8029
epoch 0016  train_loss=0.3287  val_dice=0.8791  val_iou=0.8031
epoch 0017  train_loss=0.3159  val_dice=0.8890  val_iou=0.8179
epoch 0018  train_loss=0.3178  val_dice=0.8757  val_iou=0.7963
epoch 0019  train_loss=0.3112  val_dice=0.8942  val_iou=0.8239
epoch 0020  train_loss=0.3144  val_dice=0.8881  val_iou=0.8151
epoch 0021  train_loss=0.3079  val_dice=0.8874  val_iou=0.8150
epoch 0022  train_loss=0.3124  val_dice=0.8752  val_iou=0.7925
epoch 0023  train_loss=0.3017  val_dice=0.8952  val_iou=0.8260
epoch 0024  train_loss=0.3121  val_dice=0.8097  val_iou=0.7169
epoch 0025  train_loss=0.3030  val_dice=0.8816  val_iou=0.8061
epoch 0026  train_loss=0.3044  val_dice=0.8962  val_iou=0.8270
epoch 0027  train_loss=0.3010  val_dice=0.8951  val_iou=0.8255
epoch 0028  train_loss=0.2979  val_dice=0.8742  val_iou=0.7943
epoch 0029  train_loss=0.2944  val_dice=0.8744  val_iou=0.7979
epoch 0030  train_loss=0.2882  val_dice=0.8962  val_iou=0.8252
