epoch 0001  train_loss=0.0914  val_metric=0.9908
epoch 0002  train_loss=0.0202  val_metric=0.9922
epoch 0003  train_loss=0.0171  val_metric=0.9950
epoch 0004  train_loss=0.0101  val_metric=0.9951
epoch 0005  train_loss=0.0095  val_metric=0.9962
epoch 0006  train_loss=0.0091  val_metric=0.9960
epoch 0007  train_loss=0.0069  val_metric=0.9969
epoch 0008  train_loss=0.0069  val_metric=0.9971
epoch 0009  train_loss=0.0059  val_metric=0.9976
epoch 0010  train_loss=0.0046  val_metric=0.9975
epoch 0011  train_loss=0.0043  val_metric=0.9981
epoch 0012  train_loss=0.0040  val_metric=0.9983
epoch 0013  train_loss=0.0039  val_metric=0.9983
epoch 0014  train_loss=0.0037  val_metric=0.9988
epoch 0015  train_loss=0.0041  val_metric=0.9986
epoch 0016  train_loss=0.0030  val_metric=0.9989
epoch 0017  train_loss=0.0030  val_metric=0.9989
epoch 0018  train_loss=0.0033  val_metric=0.9991
epoch 0019  train_loss=0.0027  val_metric=0.9989
epoch 0020  train_loss=0.0029  val_metric=0.9991
epoch 0021  train_loss=0.0029  val_metric=0.9991
epoch 0022  train_loss=0.0026  val_metric=0.9991
epoch 0023  train_loss=0.0026  val_metric=0.9931
epoch 0024  train_loss=0.0028  val_metric=0.9993
epoch 0025  train_loss=0.0028  val_metric=0.9993
epoch 0026  train_loss=0.0024  val_metric=0.9993
epoch 0027  train_loss=0.0049  val_metric=0.9992
epoch 0028  train_loss=0.0022  val_metric=0.9993
epoch 0029  train_loss=0.0029  val_metric=0.9993
epoch 0030  train_loss=0.0023  val_metric=0.9993
